index,fare
237,27.4
238,27.1
239,7.4
240,9.8
241,11.9
242,8.3
243,8.2
244,28.9
245,13.9
246,21.7
247,9.2
248,22.4
249,6.2
250,18.4
251,11.0
252,11.0
253,9.2
254,7.2
255,37.0
256,14.4
257,28.3
258,14.4
259,6.0
260,29.2
261,8.3
262,8.3
263,11.7
264,7.1
265,12.9
266,26.6
267,7.3
268,8.2
269,26.4
270,33.1
271,7.4
272,16.2
273,21.9
274,18.0
275,6.9
276,8.0
277,23.2
278,11.3
279,27.1
280,17.6
281,15.1
282,26.7
283,12.9
284,21.4
285,11.5
286,4.5
287,15.6
288,15.8
289,8.3
290,20.8
291,25.0
292,30.3
293,18.9
294,11.3
295,15.0
296,6.2
297,9.8
298,22.8
299,7.6
300,13.3
301,11.3
302,35.6
303,19.6
304,15.5
305,10.3
306,31.3
307,19.1
308,32.3
309,24.2
310,6.6
311,7.5
312,15.6
313,10.8
314,26.9
315,25.7
316,18.2
317,9.0
318,29.5
319,15.9
320,9.9
321,9.9
322,8.1
323,26.9
324,39.1
325,22.5
326,12.8
327,10.1
328,11.2
329,10.4
330,33.1
331,41.4
332,18.4
333,24.3
334,22.4
335,42.1
336,32.4
337,25.6
338,32.8
339,10.2
340,22.5
341,4.3
342,14.7
343,11.0
344,10.6
345,9.5
346,23.2
347,6.9
348,11.4
349,18.3
350,10.9
351,35.9
352,7.0
353,16.5
354,16.8
355,9.7
356,31.0
357,10.6
358,27.7
359,13.4
360,35.3
361,18.8
362,11.5
363,9.5
364,7.0
365,26.0
366,13.4
367,10.7
368,22.6
369,42.5
370,35.6
371,17.4
372,26.7
373,30.2
374,7.8
375,15.3
376,8.9
377,16.5
378,7.1
379,26.5
380,28.4
381,12.8
382,13.2
383,20.0
384,38.6
385,22.7
386,17.0
387,16.5
388,6.7
389,23.5
390,32.0
391,6.9
392,11.2
393,27.1
394,18.0
395,32.1
396,15.6
397,6.7
398,22.6
399,7.2
400,15.6
401,7.2
402,11.0
403,7.2
404,17.0
405,12.5
406,9.2
407,18.5
408,29.9
409,17.0
410,7.2
411,18.1
412,11.7
413,18.1
414,10.1
415,13.9
416,10.1
417,7.4
418,3.9
419,10.9
420,17.1
421,10.6
422,17.7
423,8.5
424,31.5
425,26.3
426,28.1
427,9.6
428,10.6
429,5.8
430,29.4
431,9.6
432,8.1
433,17.3
434,8.3
435,36.3
436,12.9
437,25.5
438,27.4
439,15.6
440,16.8
441,7.7
442,9.1
443,28.0
444,19.1
445,9.2
446,9.1
447,9.2
448,26.7
449,17.7
450,28.4
451,16.7
452,14.0
453,10.2
454,18.7
455,23.5
456,6.7
457,16.7
458,32.6
459,11.3
460,11.3
461,3.9
462,16.5
463,26.9
464,19.3
465,11.4
466,38.1
467,6.1
468,25.5
469,17.8
470,13.2
471,18.3
472,23.2
473,31.8
474,7.2
475,10.0
476,10.1
477,10.1
478,7.8
479,6.7
480,18.3
481,31.8
482,23.3
483,31.6
484,7.6
485,3.8
486,9.3
487,21.2
488,11.3
489,33.5
490,26.9
491,7.6
492,16.0
493,8.2
494,26.2
495,7.3
496,20.5
497,30.2
498,21.2
499,10.2
500,16.4
501,9.4
502,26.8
503,7.0
504,15.1
505,3.8
506,26.8
507,20.8
508,17.4
509,10.7
510,6.5
511,26.7
512,34.7
513,7.3
514,7.3
515,26.9
516,7.0
517,25.1
518,8.7
519,8.3
520,8.4
521,9.7
522,12.9
523,27.6
524,16.9
525,18.5
526,11.5
527,12.5
528,6.8
529,16.1
530,14.2
531,32.0
532,30.2
533,33.4
534,21.2
535,9.4
536,16.4
537,10.1
538,10.3
539,16.4
540,21.2
541,30.2
542,10.2
543,14.7
544,9.2
545,9.5
546,15.6
547,15.3
548,26.8
549,17.5
550,14.0
551,21.4
552,8.5
553,9.0
554,10.7
555,22.0
556,43.4
557,16.4
558,30.8
559,21.0
560,18.1
561,7.8
562,16.5
563,12.0
564,6.3
565,12.8
566,12.3
567,4.3
568,10.8
569,16.5
570,14.0
571,9.3
572,11.3
573,19.6
574,35.6
575,10.9
576,33.9
577,5.8
578,29.7
579,5.8
580,14.6
581,9.5
582,21.7
583,16.8
584,21.6
585,18.2
586,35.6
587,11.3
588,10.4
589,13.4
590,10.6
591,4.6
592,15.2
593,17.5
594,30.9
595,5.8
596,26.8
597,4.3
598,16.5
599,9.6
600,12.2
601,6.3
602,9.8
603,9.3
604,7.8
605,12.0
606,15.3
607,25.2
608,7.8
609,30.5
610,16.5
611,6.8
612,7.5
613,13.4
614,4.6
615,15.8
616,8.7
617,10.1
618,9.1
619,9.6
620,21.6
621,18.0
622,8.3
623,8.3
624,27.2
625,7.8
626,16.0
627,9.6
628,9.8
629,7.3
630,17.7
631,31.0
632,7.2
633,15.6
634,15.5
635,5.3
636,13.8
637,26.7
638,6.7
639,35.7
640,8.7
641,29.5
642,18.7
643,8.8
644,8.6
645,15.1
646,8.8
647,16.6
648,11.7
649,29.7
650,6.0
651,12.2
652,14.6
653,9.4
654,33.5
655,20.8
656,27.0
657,13.9
658,7.6
659,7.3
660,15.7
661,15.5
662,10.6
663,7.7
664,7.7
665,12.9
666,8.3
667,7.8
668,17.1
669,7.4
670,8.3
671,28.3
672,17.4
673,10.6
674,31.5
675,22.3
676,6.9
677,30.1
678,18.4
679,36.6
680,64.8
681,26.6
682,4.0
683,10.7
684,9.1
685,30.6
686,27.5
687,24.9
688,13.6
689,10.0
690,6.9
691,21.9
692,32.5
693,43.6
694,16.3
695,9.9
696,10.6
697,10.7
698,22.9
699,6.2
700,9.8
701,11.0
702,22.7
703,7.6
704,12.9
705,10.1
706,9.9
707,3.9
708,26.8
709,16.5
710,10.6
711,10.6
712,23.3
713,15.6
714,31.6
715,7.5
716,13.0
717,16.8
718,4.2
719,7.1
720,11.0
721,26.8
722,9.4
723,13.6
724,10.7
725,4.6
726,13.5
727,7.5
728,10.3
729,6.7
730,11.3
731,21.4
732,11.3
733,19.6
734,35.7
735,10.1
736,20.6
737,13.1
738,10.1
739,16.1
740,17.9
741,9.9
742,15.6
743,26.9
744,7.7
745,7.1
746,4.2
747,34.3
748,35.1
749,26.8
750,10.6
751,13.0
752,14.0
753,11.0
754,18.1
755,9.5
756,19.0
757,13.4
758,12.1
759,7.6
760,13.5
761,11.9
762,26.9
763,4.7
764,26.2
765,33.3
766,22.4
767,22.0
768,22.1
769,12.0
770,10.2
771,17.9
772,4.6
773,26.7
774,11.5
775,7.5
776,13.2
777,26.5
778,7.5
779,7.6
780,27.1
781,7.6
782,15.7
783,26.7
784,35.5
785,13.9
786,17.4
787,7.9
788,7.0
789,10.8
790,4.7
791,13.8
792,17.3
793,15.4
794,20.8
795,11.2
796,7.3
797,26.5
798,20.0
799,17.1
800,8.9
801,13.5
802,4.5
803,19.9
804,29.4
805,16.3
806,21.7
807,27.2
808,21.4
809,21.0
810,8.7
811,27.5
812,11.0
813,5.8
814,17.8
815,11.0
816,10.6
817,15.9
818,20.5
819,18.4
820,14.5
821,21.6
822,6.1
823,9.5
824,30.0
825,6.7
826,9.0
827,6.1
828,27.6
829,21.7
830,11.0
831,18.3
832,30.2
833,6.2
834,9.6
835,17.8
836,8.1
837,10.6
838,9.4
839,23.3
840,14.9
841,32.0
842,7.2
843,10.4
844,11.4
845,25.3
846,11.3
847,19.1
848,8.9
849,7.1
850,7.5
851,7.5
852,15.5
853,22.7
854,11.3
855,34.8
856,11.3
857,10.1
858,10.3
859,19.2
860,30.3
861,12.6
862,22.3
863,11.8
864,4.6
865,6.0
866,8.3
867,15.6
868,7.2
869,12.0
870,27.0
871,7.8
872,25.3
873,45.7
874,29.8
875,14.6
876,21.5
877,7.8
878,6.1
879,11.2
880,6.0
881,11.2
882,26.6
883,11.2
884,18.8
885,7.7
886,12.0
887,10.8
888,7.7
889,7.3
890,6.0
891,24.7
892,21.4
893,16.6
894,14.5
895,17.9
896,9.4
897,7.9
898,17.9
899,22.8
900,15.4
901,9.8
902,14.3
903,11.1
904,6.8
905,37.3
906,22.2
907,15.7
908,19.1
909,22.9
910,14.6
911,9.8
912,22.3
913,8.3
914,20.0
915,17.0
916,10.7
917,7.1
918,26.6
919,17.5
920,35.7
921,21.1
922,22.0
923,10.5
924,7.0
925,13.2
926,22.2
927,15.0
928,30.2
929,17.6
930,6.9
931,35.2
932,10.6
933,26.9
934,26.7
935,5.4
936,27.7
937,15.1
938,6.2
939,10.0
940,20.4
941,9.1
942,35.1
943,6.8
944,26.8
945,7.8
946,17.6
947,10.7
948,17.5
949,43.0
950,33.8
951,7.6
952,25.7
953,10.6
954,23.7
955,8.6
956,21.3
957,6.0
958,28.8
959,13.7
960,27.2
961,8.3
962,19.2
963,8.2
964,26.1
965,17.7
966,10.1
967,12.5
968,7.1
969,10.9
970,30.1
971,12.8
972,5.2
973,19.7
974,8.0
975,27.7
976,16.3
977,14.0
978,14.3
979,9.1
980,9.3
981,26.8
982,4.1
983,26.8
984,6.0
985,7.0
986,3.9
987,10.7
988,16.5
989,27.8
990,37.1
991,19.2
992,7.4
993,22.2
994,11.3
995,11.3
996,6.0
997,14.4
998,29.7
999,27.8
1000,8.3
1001,20.9
1002,13.7
1003,35.1
1004,26.6
1005,17.5
1006,10.6
1007,13.2
1008,27.9
1009,5.6
1010,7.9
1011,20.1
1012,22.2
1013,15.3
1014,9.9
1015,16.2
1016,9.9
1017,9.5
1018,16.5
1019,29.6
1020,10.6
1021,19.1
1022,23.5
1023,9.5
1024,9.1
1025,17.4
1026,12.6
1027,8.1
1028,27.3
1029,14.3
1030,4.5
1031,13.8
1032,11.1
1033,23.1
1034,38.2
1035,8.9
1036,22.9
1037,53.3
1038,7.4
1039,10.9
1040,15.6
1041,7.4
1042,6.3
1043,30.1
1044,10.5
1045,17.5
1046,8.3
1047,14.6
1048,19.0
1049,16.4
1050,24.5
1051,10.3
1052,23.3
1053,6.8
1054,33.1
1055,7.0
1056,30.1
1057,8.3
1058,10.1
1059,8.8
1060,17.1
1061,16.9
1062,30.9
1063,6.2
1064,15.1
1065,17.8
1066,22.6
1067,31.1
1068,41.7
1069,23.1
1070,15.1
1071,23.6
1072,10.4
1073,15.5
1074,7.4
1075,26.9
1076,13.3
1077,10.6
1078,8.5
1079,10.6
1080,15.7
1081,11.2
1082,18.3
1083,11.1
1084,26.7
1085,11.2
1086,13.4
1087,7.2
1088,27.8
1089,16.3
1090,8.3
1091,18.0
1092,17.4
1093,16.4
1094,12.4
1095,8.0
1096,7.0
1097,7.9
1098,7.5
1099,7.5
1100,10.9
1101,15.5
1102,8.0
1103,14.6
1104,7.0
1105,27.6
1106,21.5
1107,13.8
1108,16.2
1109,30.8
1110,10.6
1111,13.4
1112,8.3
1113,27.3
1114,21.4
1115,10.8
1116,7.9
1117,19.6
1118,14.8
1119,26.8
1120,20.7
1121,16.7
1122,27.0
1123,26.6
1124,16.5
1125,12.6
1126,7.6
1127,8.3
1128,12.8
1129,25.0
1130,15.7
1131,30.9
1132,23.2
1133,10.6
1134,17.8
1135,10.6
1136,9.0
1137,9.6
1138,5.5
1139,18.2
1140,7.9
1141,19.6
1142,7.0
1143,15.0
1144,13.1
1145,8.1
1146,27.0
1147,4.7
1148,7.3
1149,26.7
1150,13.0
1151,24.8
1152,13.8
1153,27.0
1154,26.7
1155,7.9
1156,4.4
1157,12.3
1158,23.0
1159,30.3
1160,7.6
1161,4.5
1162,11.8
1163,6.6
1164,15.1
1165,6.1
1166,11.7
1167,17.9
1168,30.6
1169,22.7
1170,11.0
1171,8.5
1172,10.3
1173,7.0
1174,5.5
1175,23.2
1176,13.7
1177,36.9
1178,5.8
1179,7.5
1180,6.6
1181,10.1
1182,15.4
1183,18.8
1184,8.4
1185,10.3
1186,23.6
1187,32.9
1188,6.6
1189,12.3
1190,4.3
1191,26.8
1192,17.8
1193,13.5
1194,7.9
1195,8.4
1196,28.8
1197,7.4
1198,26.8
1199,15.6
1200,10.5
1201,5.3
1202,13.0
1203,27.6
1204,4.8
1205,12.5
1206,13.8
1207,7.7
1208,18.5
1209,8.4
1210,27.8
1211,15.0
1212,8.3
1213,8.4
1214,27.7
1215,23.3
1216,26.9
1217,12.0
1218,17.2
1219,12.6
1220,18.5
1221,27.2
1222,8.5
1223,13.6
1224,27.6
1225,7.3
1226,18.0
1227,26.2
1228,26.7
1229,9.4
1230,8.9
1231,14.9
1232,9.4
1233,27.2
1234,26.6
1235,16.7
1236,21.4
1237,9.9
1238,9.9
1239,16.4
1240,9.6
1241,17.1
1242,39.8
1243,6.9
1244,18.3
1245,36.6
1246,62.6
1247,30.1
1248,6.8
1249,26.8
1250,7.4
1251,11.4
1252,23.2
1253,9.4
1254,16.2
1255,16.5
1256,10.6
1257,15.6
1258,22.9
1259,16.6
1260,29.9
1261,6.2
1262,17.8
1263,14.6
1264,14.4
1265,6.9
1266,32.5
1267,16.7
1268,9.4
1269,21.9
1270,33.7
1271,6.8
1272,41.3
1273,10.1
1274,16.5
1275,22.5
1276,9.2
1277,9.8
1278,10.4
1279,30.4
1280,15.5
1281,16.1
1282,7.0
1283,10.3
1284,3.9
1285,26.8
1286,14.9
1287,17.8
1288,12.2
1289,8.1
1290,7.2
1291,9.8
1292,10.6
1293,10.6
1294,26.8
1295,12.7
1296,13.7
1297,10.6
1298,32.0
1299,11.2
1300,10.6
1301,21.5
1302,7.2
1303,9.1
1304,14.0
1305,21.6
1306,28.7
1307,6.4
1308,4.4
1309,15.7
1310,12.1
1311,13.7
1312,23.4
1313,28.6
1314,30.6
1315,21.3
1316,16.1
1317,7.8
1318,7.4
1319,7.7
1320,23.0
1321,26.8
1322,6.5
1323,15.8
1324,18.7
1325,26.0
1326,10.3
1327,9.6
1328,10.5
1329,6.3
1330,26.9
1331,7.5
1332,4.3
1333,16.5
1334,7.2
1335,7.2
1336,26.8
1337,9.6
1338,11.0
1339,12.8
1340,8.4
1341,8.1
1342,26.3
1343,27.2
1344,8.4
1345,12.3
1346,7.2
1347,10.8
1348,4.3
1349,7.0
1350,10.4
1351,34.7
1352,5.2
1353,15.5
1354,10.4
1355,17.8
1356,7.2
1357,7.2
1358,11.4
1359,40.5
1360,57.2
1361,32.0
1362,22.3
1363,23.6
1364,6.3
1365,15.6
1366,10.2
1367,7.5
1368,7.5
1369,16.8
1370,7.9
1371,15.4
1372,10.6
1373,8.0
1374,12.0
1375,9.2
1376,12.2
1377,17.2
1378,4.6
1379,17.5
1380,7.4
1381,13.8
1382,9.7
1383,41.8
1384,19.7
1385,28.4
1386,7.9
1387,13.0
1388,8.7
1389,5.7
1390,27.6
1391,10.9
1392,21.2
1393,35.0
1394,18.0
1395,13.0
1396,33.0
1397,18.8
1398,18.6
1399,10.6
1400,9.8
1401,16.5
1402,3.9
1403,7.0
1404,10.5
1405,12.4
1406,8.5
1407,9.6
1408,7.1
1409,26.1
1410,34.7
1411,15.6
1412,25.5
1413,27.3
1414,11.1
1415,11.3
1416,19.3
1417,10.4
1418,34.1
1419,6.9
1420,10.5
1421,27.2
1422,17.8
1423,28.6
1424,13.0
1425,8.4
1426,27.2
1427,17.0
1428,7.8
1429,13.7
1430,6.9
1431,17.6
1432,15.3
1433,22.7
1434,19.9
1435,35.3
1436,40.8
1437,26.3
1438,8.1
1439,12.6
1440,16.3
1441,8.0
1442,13.6
1443,21.9
1444,24.9
1445,32.5
1446,15.5
1447,6.9
1448,43.6
1449,21.5
1450,6.2
1451,9.5
1452,16.6
1453,29.9
1454,14.7
1455,21.5
1456,10.2
1457,30.4
1458,9.4
1459,16.3
1460,10.1
1461,22.1
1462,9.8
1463,13.7
1464,20.8
1465,10.7
1466,7.4
1467,17.7
1468,15.5
1469,27.0
1470,13.2
1471,39.7
1472,13.1
1473,21.9
1474,13.2
1475,9.0
1476,20.7
1477,6.9
1478,17.6
1479,10.6
1480,13.7
1481,10.7
1482,20.8
1483,35.8
1484,7.1
1485,13.8
1486,17.6
1487,13.8
1488,12.6
1489,4.7
1490,27.2
1491,13.1
1492,31.7
1493,10.1
1494,26.8
1495,35.7
1496,7.4
1497,15.6
1498,17.6
1499,26.9
1500,9.3
1501,23.8
1502,33.8
1503,6.9
1504,16.5
1505,26.6
1506,10.7
1507,11.1
1508,6.5
1509,21.8
1510,18.5
1511,12.5
1512,36.1
1513,26.7
1514,7.5
1515,19.5
1516,10.7
1517,15.7
1518,10.6
1519,21.5
1520,9.5
1521,31.8
1522,10.6
1523,53.3
1524,35.0
1525,9.4
1526,7.4
1527,32.2
1528,20.9
1529,9.6
1530,13.7
1531,15.5
1532,8.7
1533,5.7
1534,28.6
1535,12.6
1536,27.1
1537,18.3
1538,20.4
1539,10.1
1540,27.7
1541,9.6
1542,6.9
1543,28.6
1544,32.8
1545,16.2
1546,10.3
1547,29.9
1548,16.7
1549,6.2
1550,14.5
1551,9.4
1552,8.8
1553,10.0
1554,10.8
1555,8.9
1556,9.3
1557,14.9
1558,27.2
1559,8.6
1560,8.4
1561,27.2
1562,13.0
1563,8.4
1564,37.9
1565,16.7
1566,21.4
1567,14.4
1568,9.4
1569,21.7
1570,12.4
1571,10.8
1572,26.7
1573,12.9
1574,7.0
1575,21.4
1576,17.8
1577,7.0
1578,26.7
1579,10.7
1580,16.6
1581,15.7
1582,13.0
1583,21.0
1584,8.8
1585,8.6
1586,9.5
1587,17.0
1588,12.3
1589,13.5
1590,24.8
1591,7.8
1592,27.4
1593,26.7
1594,4.4
1595,16.3
1596,12.4
1597,8.2
1598,8.1
1599,7.2
1600,8.3
1601,26.8
1602,11.5
1603,10.7
1604,6.8
1605,18.6
1606,33.0
1607,16.5
1608,23.7
1609,10.3
1610,17.6
1611,9.4
1612,10.2
1613,10.1
1614,21.3
1615,16.3
1616,17.7
1617,6.1
1618,13.4
1619,17.8
1620,8.1
1621,11.8
1622,14.6
1623,42.2
1624,30.4
1625,6.2
1626,29.7
1627,16.6
1628,14.9
1629,17.7
1630,5.7
1631,6.1
1632,9.5
1633,27.0
1634,16.0
1635,9.0
1636,29.6
1637,16.0
1638,6.9
1639,20.7
1640,27.2
1641,12.1
1642,9.3
1643,15.6
1644,8.9
1645,8.8
1646,22.0
1647,15.0
1648,13.4
1649,23.2
1650,27.0
1651,10.3
1652,13.3
1653,16.6
1654,16.3
1655,33.0
1656,19.0
1657,8.2
1658,16.5
1659,8.9
1660,8.2
1661,11.2
1662,11.8
1663,4.6
1664,13.8
1665,7.3
1666,17.3
1667,8.8
1668,27.2
1669,14.2
1670,4.6
1671,18.4
1672,32.9
1673,12.6
1674,9.8
1675,9.7
1676,14.7
1677,16.0
1678,7.9
1679,5.4
1680,28.8
1681,15.5
1682,7.2
1683,8.8
1684,6.0
1685,26.8
1686,9.3
1687,9.9
1688,16.1
1689,21.1
1690,10.0
1691,9.8
1692,8.4
1693,13.0
1694,17.2
1695,7.4
1696,15.3
1697,9.1
1698,27.8
1699,8.9
1700,10.5
1701,9.9
1702,9.9
1703,10.1
1704,18.1
1705,15.8
1706,8.8
1707,23.8
1708,19.0
1709,32.9
1710,7.0
1711,16.6
1712,30.8
1713,9.8
1714,14.9
1715,18.0
1716,40.0
1717,26.6
1718,11.1
1719,11.1
1720,36.7
1721,9.8
1722,10.7
1723,31.4
1724,9.1
1725,8.9
1726,26.9
1727,9.8
1728,8.4
1729,8.5
1730,13.4
1731,26.6
1732,16.1
1733,35.9
1734,4.8
1735,13.9
1736,16.5
1737,22.6
1738,12.0
1739,9.4
1740,9.6
1741,13.4
1742,26.9
1743,7.0
1744,3.9
1745,16.5
1746,7.2
1747,8.0
1748,9.0
1749,14.3
1750,27.2
1751,22.0
1752,27.1
1753,11.1
1754,19.2
1755,18.5
1756,16.1
1757,8.1
1758,26.7
1759,15.6
1760,31.0
1761,7.2
1762,18.6
1763,4.6
1764,21.8
1765,35.6
1766,6.9
1767,11.0
1768,17.7
1769,34.9
1770,10.8
1771,6.8
1772,16.8
1773,17.9
1774,26.8
1775,10.6
1776,19.1
1777,15.0
1778,7.5
1779,9.7
1780,27.8
1781,9.7
1782,10.7
1783,16.5
1784,11.7
1785,10.1
1786,7.0
1787,9.6
1788,10.0
1789,15.3
1790,19.9
1791,10.0
1792,8.8
1793,29.0
1794,16.6
1795,10.7
1796,21.6
1797,34.9
1798,26.8
1799,26.6
1800,17.5
1801,21.1
1802,28.8
1803,6.2
1804,5.7
1805,15.1
1806,8.9
1807,16.1
1808,27.1
1809,30.8
1810,9.2
1811,22.3
1812,17.6
1813,17.5
1814,34.0
1815,8.2
1816,20.0
1817,20.8
1818,26.4
1819,10.6
1820,20.8
1821,10.4
1822,9.8
1823,15.9
1824,9.8
1825,3.9
1826,10.1
1827,10.7
1828,7.0
1829,26.9
1830,16.5
1831,26.9
1832,20.6
1833,33.3
1834,9.4
1835,8.5
1836,8.5
1837,13.3
1838,25.0
1839,8.4
1840,18.6
1841,6.6
1842,4.9
1843,53.3
1844,18.0
1845,15.8
1846,7.6
1847,27.4
1848,40.1
1849,18.3
1850,19.5
1851,11.2
1852,24.2
1853,6.6
1854,27.8
1855,37.9
1856,13.6
1857,7.0
1858,21.9
1859,43.6
1860,11.4
1861,10.6
1862,22.2
1863,10.6
1864,16.3
1865,18.7
1866,17.4
1867,13.2
1868,5.6
1869,8.0
1870,19.8
1871,27.9
1872,8.4
1873,18.0
1874,7.6
1875,6.7
1876,6.4
1877,6.6
1878,9.8
1879,11.3
1880,13.6
1881,7.5
1882,17.8
1883,11.6
1884,4.6
1885,24.1
1886,10.9
1887,10.8
1888,40.7
1889,13.2
1890,15.4
1891,6.6
1892,23.0
1893,30.8
1894,6.8
1895,17.9
1896,27.4
1897,9.5
1898,33.8
1899,9.2
1900,31.0
1901,6.2
1902,15.2
1903,9.1
1904,7.4
1905,8.4
1906,26.7
1907,12.3
1908,19.5
1909,10.8
1910,18.2
1911,13.2
1912,26.7
1913,34.7
1914,33.3
1915,5.0
1916,20.2
1917,17.6
1918,27.2
1919,14.4
1920,23.0
1921,9.8
1922,7.3
1923,15.7
1924,12.3
1925,15.4
1926,26.5
1927,8.4
1928,7.2
1929,7.9
1930,9.1
1931,9.0
1932,13.8
1933,17.7
1934,27.1
1935,8.2
1936,8.2
1937,15.7
1938,13.7
1939,7.4
1940,11.7
1941,10.6
1942,15.7
1943,9.4
1944,22.4
1945,30.4
1946,7.4
1947,8.2
1948,18.7
1949,27.7
1950,13.9
1951,13.3
1952,25.9
1953,8.8
1954,14.2
1955,30.8
1956,23.3
1957,19.3
1958,13.8
1959,37.4
1960,19.1
1961,19.8
1962,26.9
1963,11.2
1964,11.5
1965,26.8
1966,4.5
1967,17.0
1968,7.4
1969,31.3
1970,26.5
1971,10.6
1972,18.0
1973,4.3
1974,9.0
1975,8.4
1976,9.1
1977,6.9
1978,16.5
1979,4.1
1980,28.4
1981,16.1
1982,8.6
1983,14.2
1984,14.7
1985,24.2
1986,7.5
1987,7.7
1988,21.3
1989,9.5
1990,11.0
1991,6.9
1992,35.5
1993,7.2
1994,10.7
1995,30.5
1996,16.3
1997,13.4
1998,22.5
1999,23.3
2000,27.0
2001,10.3
2002,4.0
2003,11.5
2004,15.0
2005,16.5
2006,7.0
2007,16.6
2008,19.7
2009,10.3
2010,24.8
2011,33.4
2012,10.7
2013,17.7
2014,7.9
2015,8.4
2016,35.2
2017,11.1
2018,27.2
2019,10.7
2020,10.7
2021,33.2
2022,15.8
2023,24.1
2024,18.6
2025,9.8
2026,30.1
2027,9.7
2028,20.8
2029,14.4
2030,17.1
2031,21.7
2032,9.6
2033,6.1
2034,21.7
2035,11.0
2036,9.5
2037,16.6
2038,15.2
2039,19.3
2040,12.1
2041,31.7
2042,5.0
2043,52.8
2044,26.0
2045,9.5
2046,27.4
2047,9.7
2048,9.2
2049,15.7
2050,18.9
2051,18.5
2052,7.4
2053,11.0
2054,15.7
2055,7.4
2056,6.3
2057,14.0
2058,8.7
2059,9.0
2060,18.6
2061,14.0
2062,26.7
2063,8.7
2064,25.9
2065,17.4
2066,6.9
2067,20.5
2068,16.8
2069,10.6
2070,8.0
2071,11.8
2072,25.8
2073,11.8
2074,17.2
2075,7.2
2076,10.7
2077,27.0
2078,10.0
2079,4.2
2080,16.5
2081,32.8
2082,14.0
2083,10.4
2084,12.5
2085,7.8
2086,18.9
2087,9.4
2088,29.5
2089,7.1
2090,21.0
2091,26.9
2092,10.0
2093,15.0
2094,9.9
2095,14.3
2096,9.9
2097,9.0
2098,27.3
2099,24.5
2100,11.5
2101,11.5
2102,34.3
2103,7.3
2104,7.3
2105,26.7
2106,23.2
2107,41.3
2108,32.4
2109,14.0
2110,4.5
2111,8.6
2112,16.3
2113,10.2
2114,33.4
2115,16.4
2116,12.1
2117,26.1
2118,4.3
2119,21.2
2120,7.5
2121,16.1
2122,13.2
2123,11.8
2124,7.6
2125,9.5
2126,13.2
2127,20.4
2128,28.8
2129,11.2
2130,24.4
2131,39.4
2132,16.5
2133,4.0
2134,9.3
2135,7.1
2136,11.3
2137,7.5
2138,24.0
2139,10.7
2140,21.0
